mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.026554441452026366,0.00685526157267688,0.009473466873168945,0.003350680426004101,,2,"{'max_depth': None, 'min_samples_split': 2}",0.7841409691629956,0.8502202643171806,0.8325991189427313,0.7929515418502202,0.8451327433628318,0.8210089275271919,0.027261901876242275,14
0.023357152938842773,0.008827420375016088,0.008202219009399414,0.003298837183714665,,5,"{'max_depth': None, 'min_samples_split': 5}",0.775330396475771,0.8414096916299559,0.8281938325991189,0.7797356828193832,0.8362831858407079,0.8121905578729873,0.028643699882635806,29
0.019515609741210936,0.005579397322728796,0.009774446487426758,0.0036818186582723293,,10,"{'max_depth': None, 'min_samples_split': 10}",0.7665198237885462,0.8370044052863436,0.8281938325991189,0.7797356828193832,0.8451327433628318,0.8113172975712448,0.03191344970085334,30
0.023483419418334962,0.005235757910869535,0.00927281379699707,0.0022735490444678952,,15,"{'max_depth': None, 'min_samples_split': 15}",0.775330396475771,0.8414096916299559,0.8325991189427313,0.7841409691629956,0.8495575221238938,0.8166075396670696,0.030706544722439492,22
0.021198415756225587,0.00497821679412231,0.00861053466796875,0.0024709471050381503,,20,"{'max_depth': None, 'min_samples_split': 20}",0.7665198237885462,0.8546255506607929,0.8458149779735683,0.8105726872246696,0.8584070796460177,0.827188023858719,0.03473070875199351,4
0.021626043319702148,0.004294404250200954,0.008763551712036133,0.0031834464101307466,5,2,"{'max_depth': 5, 'min_samples_split': 2}",0.7577092511013216,0.8105726872246696,0.8370044052863436,0.8193832599118943,0.8672566371681416,0.8183852481384741,0.03599637323556499,18
0.018841123580932616,0.005179834955147628,0.008977556228637695,0.00430820248856665,5,5,"{'max_depth': 5, 'min_samples_split': 5}",0.7577092511013216,0.8149779735682819,0.8370044052863436,0.8193832599118943,0.8672566371681416,0.8192663054071966,0.03584797493020052,16
0.019628429412841798,0.003205543861014579,0.010256052017211914,0.0011357838212827697,5,10,"{'max_depth': 5, 'min_samples_split': 10}",0.7577092511013216,0.8193832599118943,0.8370044052863436,0.8193832599118943,0.8672566371681416,0.8201473626759193,0.03578583270464193,15
0.017578840255737305,0.004525015702727307,0.008057498931884765,0.0025584990200503512,5,15,"{'max_depth': 5, 'min_samples_split': 15}",0.7577092511013216,0.8193832599118943,0.8370044052863436,0.8193832599118943,0.8584070796460177,0.8183774511714944,0.03356184851167799,19
0.016475534439086913,0.00567481156501126,0.008788967132568359,0.0038008126226076033,5,20,"{'max_depth': 5, 'min_samples_split': 20}",0.7533039647577092,0.8193832599118943,0.8370044052863436,0.8193832599118943,0.8584070796460177,0.8174963939027717,0.035162580116768545,21
0.014536714553833008,0.006061806377931096,0.005625629425048828,0.0003295074700472314,10,2,"{'max_depth': 10, 'min_samples_split': 2}",0.748898678414097,0.8237885462555066,0.8325991189427313,0.8325991189427313,0.8805309734513275,0.8236832872012787,0.04238724415242889,9
0.019535541534423828,0.004473143342151493,0.00785675048828125,0.0022733844579234603,10,5,"{'max_depth': 10, 'min_samples_split': 5}",0.7665198237885462,0.8237885462555066,0.8414096916299559,0.8281938325991189,0.8716814159292036,0.8263186620404662,0.0342675864957824,6
0.02144794464111328,0.0024824187950637754,0.010488080978393554,0.0008318010778039061,10,10,"{'max_depth': 10, 'min_samples_split': 10}",0.748898678414097,0.8237885462555066,0.8370044052863436,0.8370044052863436,0.8805309734513275,0.8254454017387236,0.042810716786247364,7
0.019168615341186523,0.004661107924217853,0.008747529983520509,0.002082653715464735,10,15,"{'max_depth': 10, 'min_samples_split': 15}",0.7444933920704846,0.8281938325991189,0.8414096916299559,0.8370044052863436,0.8716814159292036,0.8245565475030213,0.0426217539649106,8
0.01932053565979004,0.006431224302055523,0.007191991806030274,0.0021432521152086725,10,20,"{'max_depth': 10, 'min_samples_split': 20}",0.7400881057268722,0.8458149779735683,0.8546255506607929,0.8193832599118943,0.8805309734513275,0.8280885735448911,0.04814251073220951,1
0.021528005599975586,0.0028056546057665657,0.010938358306884766,0.0024007239971328845,15,2,"{'max_depth': 15, 'min_samples_split': 2}",0.7665198237885462,0.8414096916299559,0.8414096916299559,0.8061674008810573,0.8495575221238938,0.8210128260106817,0.031102211718262204,13
0.02466273307800293,0.0015685404554843503,0.010254812240600587,0.0015073222574696658,15,5,"{'max_depth': 15, 'min_samples_split': 5}",0.7665198237885462,0.8458149779735683,0.8458149779735683,0.801762114537445,0.8495575221238938,0.8218938832794043,0.0328063683879502,11
0.015438127517700195,0.004485681461117265,0.0059069633483886715,0.0023968377046895252,15,10,"{'max_depth': 15, 'min_samples_split': 10}",0.7709251101321586,0.8281938325991189,0.8414096916299559,0.8149779735682819,0.8628318584070797,0.8236676932673189,0.030745365759614122,10
0.021325302124023438,0.002382857397989456,0.009235525131225586,0.001388795591506731,15,15,"{'max_depth': 15, 'min_samples_split': 15}",0.7665198237885462,0.8281938325991189,0.8370044052863436,0.8149779735682819,0.8584070796460177,0.8210206229776617,0.03069701646582784,12
0.01580367088317871,0.005106537215078374,0.00784444808959961,0.004441028388278965,15,20,"{'max_depth': 15, 'min_samples_split': 20}",0.762114537444934,0.8458149779735683,0.8502202643171806,0.8105726872246696,0.8716814159292036,0.8280807765779112,0.038376431482071593,2
0.01962933540344238,0.005079671342111807,0.008851051330566406,0.0026670940404045214,20,2,"{'max_depth': 20, 'min_samples_split': 2}",0.7841409691629956,0.8502202643171806,0.8281938325991189,0.7841409691629956,0.8451327433628318,0.8183657557210244,0.028880597190246104,20
0.02420330047607422,0.004333582262530719,0.009591245651245117,0.002411603946940355,20,5,"{'max_depth': 20, 'min_samples_split': 5}",0.7797356828193832,0.8546255506607929,0.8237885462555066,0.7797356828193832,0.831858407079646,0.8139487739269423,0.02970941753338901,26
0.02434248924255371,0.004828024050157837,0.009510183334350586,0.0028280368294530123,20,10,"{'max_depth': 20, 'min_samples_split': 10}",0.7709251101321586,0.8458149779735683,0.8281938325991189,0.7797356828193832,0.8407079646017699,0.8130755136251997,0.03147122264601254,27
0.02428746223449707,0.0017092163450577326,0.01003279685974121,0.0018152933880448735,20,15,"{'max_depth': 20, 'min_samples_split': 15}",0.7709251101321586,0.8458149779735683,0.8325991189427313,0.7841409691629956,0.8495575221238938,0.8166075396670696,0.03266640161563818,22
0.019542360305786134,0.008426063979851815,0.00821223258972168,0.0027037947933855762,20,20,"{'max_depth': 20, 'min_samples_split': 20}",0.7665198237885462,0.8590308370044053,0.8458149779735683,0.8105726872246696,0.8584070796460177,0.8280690811274415,0.035463717274255714,3
0.013277292251586914,0.00036748995547894665,0.005617761611938476,0.0006435608393889916,25,2,"{'max_depth': 25, 'min_samples_split': 2}",0.7841409691629956,0.8502202643171806,0.8325991189427313,0.7929515418502202,0.8362831858407079,0.819239016022767,0.025891071868263685,17
0.019764471054077148,0.00484648084187187,0.007977104187011719,0.002883357255498527,25,5,"{'max_depth': 25, 'min_samples_split': 5}",0.775330396475771,0.8502202643171806,0.8281938325991189,0.7797356828193832,0.8362831858407079,0.8139526724104323,0.030591774290946474,25
0.01208195686340332,0.0012966790984071815,0.004753780364990234,0.00033055920131697564,25,10,"{'max_depth': 25, 'min_samples_split': 10}",0.7665198237885462,0.8414096916299559,0.8281938325991189,0.7797356828193832,0.8451327433628318,0.8121983548399673,0.03266246998286658,28
0.011316490173339844,0.00035384374034057645,0.004638481140136719,0.00024143204754568896,25,15,"{'max_depth': 25, 'min_samples_split': 15}",0.775330396475771,0.8414096916299559,0.8325991189427313,0.7841409691629956,0.8495575221238938,0.8166075396670696,0.030706544722439492,22
0.01194014549255371,0.001610941891693671,0.004548311233520508,0.0004958436306277088,25,20,"{'max_depth': 25, 'min_samples_split': 20}",0.7665198237885462,0.8546255506607929,0.8458149779735683,0.8105726872246696,0.8584070796460177,0.827188023858719,0.03473070875199351,4
